lineup,team,adj_team_off_eff,adj_team_def_eff,adj_team_eff_margin,pred_adj_team_eff_margin,off_poss,def_poss,plus_minus,avg_opp_bpr,team_off_eff,team_def_eff,team_eff_margin,color_pred_O,color_pred_D,color_height_mean,color_recruit_rating_mean,color_games_exp_mean,color_game_usage_mean,color_two_pct_weighted_mean,color_three_pct_weighted_mean,color_ft_pct_weighted_mean,color_oreb_pct_sum,color_dreb_pct_sum,color_assist_rate_sum,color_TO_sum,color_STL_sum,color_blk_pct_sum,color_PF_sum,color_scoring_mean,color_position_raw_sd,color_position_raw_mean,color_role_raw_sd,color_role_raw_mean,color_adj_O,color_adj_Diff,color_adj_D,color_post_O,color_post_Diff,color_post_D,p_id_string_1,p_id_string_2,p_id_string_3,p_id_string_4,p_id_string_5,year
W. Celichowski / E. Greenberg / L. Hobin / E. Robinson / K. Sanders,Air Force,85.786857036184,107.304622002988,-21.5177649668036,-17.914522032232,371,366,-107.937125329563,1.55463562696834,84.0970350404313,113.387978142077,-29.2909431016452,#FFFFFF,#DCE9F5,#FFEBD2,#FFFFFF,#DCE9F5,#FFEBD2,#FFFFFF,#DCE9F5,#FFFFFF,#CBDEF0,#DCE9F5,#FFFFFF,#FFFFFF,#DCE9F5,#FFFFFF,#FFEBD2,#DCE9F5,#FFFFFF,#FFFFFF,#CBDEF0,#FFFFFF,#87B5DC,#B2CFE8,#EAF2F8,#A8C8E5,#9DC2E2,#E6EFF7,"2118008,,Wesley Celichowski","2303177,,Eli Robinson","2505121,,Ethan Greenberg","2505125,,Lucas Hobin","2505130,,Kam Sanders",2025
E. Greenberg / L. Hobin / E. Robinson / K. Sanders / C. Walker,Air Force,95.8778790554715,123.620889451816,-27.7430103963444,-12.7282718579416,192,186,-57.6970766129032,0.556908673419301,96.3541666666667,126.881720430108,-30.5275537634409,#FFFFFF,#DCE9F5,#FFEBD2,#FFFFFF,#DCE9F5,#FFD7A5,#FFFFFF,#FFFFFF,#CBDEF0,#DCE9F5,#FFFFFF,#FFFFFF,#DCE9F5,#FFFFFF,#DCE9F5,#FFEBD2,#FFFFFF,#FFFFFF,#FFFFFF,#CBDEF0,#FFFFFF,#B1CEE8,#9CC1E2,#AECCE7,#C2D9ED,#B9D4EB,#DDE9F5,"2117992,,Caleb Walker","2303177,,Eli Robinson","2505121,,Ethan Greenberg","2505125,,Lucas Hobin","2505130,,Kam Sanders",2025
Tav. Johnson / Ama. Lyles / Eva. Mahaffey / Eri. Mahaffey / Sha. Scott,Akron,130.93612648607,95.7158799205508,35.2202465655192,34.416662824889,301,311,93.593616134856,0.926819500368164,131.229235880399,100.64308681672,30.5861490636784,#FFD7A5,#FFEBD2,#DCE9F5,#FFFFFF,#FFD7A5,#FFEBD2,#FFEBD2,#FFEBD2,#FFFFFF,#FFEBD2,#FFEBD2,#FFD7A5,#FFFFFF,#FFFFFF,#FFEBD2,#FFEBD2,#FFEBD2,#FFFFFF,#FFFFFF,#CBDEF0,#FFFFFF,#FFD9A9,#FFD095,#FFF2E2,#FFE9CE,#FFC47A,#FFECD5,"1890656,,Shammah Scott","1895929,,Evan Mahaffey","1949206,,Amani Lyles","1949207,,Tavari Johnson","2266043,,Eric Mahaffey",2025
Bow. Hardman / Tav. Johnson / Ama. Lyles / Eva. Mahaffey / Sha. Scott,Akron,113.338429536504,102.676126255199,10.6623032813057,19.3831156161985,181,153,12.3201169970751,0.656997542838979,113.259668508287,105.882352941176,7.37731556711083,#FFD7A5,#FFFFFF,#CBDEF0,#FFFFFF,#FFD7A5,#FFFFFF,#FFEBD2,#FFD7A5,#FFFFFF,#FFFFFF,#FFFFFF,#FFEBD2,#FFFFFF,#FFFFFF,#FFFFFF,#FFD7A5,#FFEBD2,#FFFFFF,#FFFFFF,#CBDEF0,#FFFFFF,#F8FBFD,#FFF0DE,#FBFCFD,#FFFBF6,#FFDEB4,#FFF8F1,"1890656,,Shammah Scott","1895929,,Evan Mahaffey","1917732,,Bowen Hardman","1949206,,Amani Lyles","1949207,,Tavari Johnson",2025
Zac. Halligan / Tav. Johnson / Ama. Lyles / Eva. Mahaffey / Sha. Young,Akron,113.757405038317,80.9446109575635,32.812794080753,28.2083840435139,164,169,45.9502994660124,1.04300332473771,112.80487804878,85.207100591716,27.5977774570645,#FFEBD2,#FFEBD2,#CBDEF0,#FFFFFF,#FFD7A5,#FFFFFF,#FFD7A5,#FFEBD2,#FFFFFF,#FFEBD2,#FFEBD2,#FFEBD2,#FFFFFF,#FFD7A5,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#CBDEF0,#FFFFFF,#FAFCFD,#FFD39C,#FFD39C,#FDFEFE,#FFCF92,#FFE2BF,"1895929,,Evan Mahaffey","1949206,,Amani Lyles","1949207,,Tavari Johnson","2094971,,Zach Halligan","2266042,,Sharron Young",2025
A. Allen / A. Holloway / L. Philon / A. Sherrell / L. Wrightsell Jr.,Alabama,138.353622479874,104.644975359662,33.7086471202114,46.7441088951224,135,123,12.0027100271003,4.88084414852286,129.62962962963,120.325203252033,9.3044263775971,#FFD7A5,#FFEBD2,#FFFFFF,#FFD7A5,#FFEBD2,#FFD7A5,#FFD7A5,#FFD7A5,#FFEBD2,#FFFFFF,#FFFFFF,#FFD7A5,#FFEBD2,#FFFFFF,#FFEBD2,#FFD7A5,#FFD7A5,#FFFFFF,#FFFFFF,#CBDEF0,#FFFFFF,#FFC782,#FFD299,#F3F8FB,#FFCF94,#FFAF4B,#FFEEDA,"1602892,,Latrell Wrightsell Jr.","2106215,,Aden Holloway","2301240,,Labaron Philon","2301241,,Aiden Sherrell","2550725,,Amari Allen",2025
I. Abidde / J. Kempson / A. Lindsey / Z. Matulu / O. Okeke,Albany,120.907243611678,101.03410105818,19.8731425534975,8.11786626208992,156,161,24.637044115305,0.865853228011172,120.512820512821,104.968944099379,15.5438764134416,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFEBD2,#FFFFFF,#FFFFFF,#DCE9F5,#FFFFFF,#FFEBD2,#FFFFFF,#DCE9F5,#FFEBD2,#FFEBD2,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#CBDEF0,#FFFFFF,#FFF0DE,#FFE4C3,#FFFDFC,#EEF4FA,#FFF1DF,#F9FBFD,"1700366,,Isaac Abidde","2126093,,Okechukwu Okeke","2143580,,Zach Matulu","2284666,,Amir Lindsey","2549079,,Jaden Kempson",2025
I. Abidde / T. Foster / J. Kempson / A. Lindsey / O. Okeke,Albany,101.732722380693,107.438152098515,-5.7054297178218,-2.56321658656269,153,152,-1.04919160646713,-1.00348704435556,104.575163398693,105.263157894737,-0.68799449604402,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFEBD2,#FFFFFF,#FFFFFF,#DCE9F5,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFEBD2,#FFEBD2,#FFFFFF,#FFFFFF,#FFFFFF,#CBDEF0,#FFFFFF,#C9DDEF,#EAF2F9,#E9F1F8,#D0E1F1,#F1F6FA,#F3F7FB,"1700366,,Isaac Abidde","2126093,,Okechukwu Okeke","2152575,,Tarique Foster","2284666,,Amir Lindsey","2549079,,Jaden Kempson",2025
S. Lancaster / T. McDaniels / J. Morris / D. Williams / N. Woodard,Alcorn State,95.3804297436162,114.896558726076,-19.5161289824602,-12.0496362977666,309,305,-46.2104302615523,-0.892774313654755,97.7346278317152,112.786885245902,-15.0522574141864,#FFFFFF,#DCE9F5,#DCE9F5,#FFFFFF,#FFFFFF,#FFEBD2,#DCE9F5,#FFFFFF,#FFFFFF,#DCE9F5,#DCE9F5,#FFFFFF,#DCE9F5,#FFD7A5,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#CBDEF0,#FFFFFF,#AFCDE7,#B9D3EA,#CEE0F0,#BFD7EC,#BDD6EC,#E3EDF6,"1925353,,Shane Lancaster","2092096,,Jameel Morris","2283126,,Nick Woodard","2345717,,Davian Williams","2345734,,Tycen McDaniels",2025
O. Hamilton / S. Lancaster / T. McDaniels / J. Morris / N. Woodard,Alcorn State,95.2881343597907,103.553228667869,-8.26509430807789,-7.78310060365055,227,226,-23.9957019219523,0.465806915157257,94.273127753304,104.867256637168,-10.5941288838642,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#DCE9F5,#FFEBD2,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#CBDEF0,#FFFFFF,#AECDE7,#E1ECF6,#F7FAFC,#BFD7EC,#D4E4F2,#F1F6FB,"1925353,,Shane Lancaster","2092096,,Jameel Morris","2283126,,Nick Woodard","2345734,,Tycen McDaniels","2345736,,Omari Hamilton",2025
J. Iturbe / G. Jones / M. Mayock / K. Sebastian / G. Sprouse,American,115.574768310428,91.2921653157076,24.2826029947201,12.7845360498687,217,228,58.5796143584769,-0.409062714177493,118.433179723502,92.1052631578947,26.3279165656076,#FFEBD2,#FFFFFF,#FFFFFF,#FFFFFF,#FFEBD2,#FFFFFF,#FFFFFF,#FFEBD2,#FFD7A5,#DCE9F5,#FFFFFF,#FFFFFF,#FFEBD2,#FFFFFF,#CBDEF0,#FFFFFF,#DCE9F5,#FFFFFF,#FFFFFF,#CBDEF0,#FFFFFF,#FFFDFB,#FFDEB5,#FFE9CD,#F8FAFD,#FFE9CD,#FFFEFE,"1924182,,Geoff Sprouse","2112592,,Greg Jones","2112593,,Matt Mayock","2321215,,Julen Iturbe","2478271,,Kade Sebastian",2025
J. Iturbe / G. Jones / M. Mayock / W. Nausadis / G. Sprouse,American,101.426495553274,104.891663020393,-3.46516746711862,-0.735247536735706,215,208,-11.3175201252236,0.377181175628155,101.860465116279,107.211538461538,-5.35107334525939,#FFEBD2,#DCE9F5,#FFFFFF,#FFFFFF,#FFEBD2,#FFFFFF,#FFFFFF,#FFFFFF,#FFEBD2,#CBDEF0,#FFFFFF,#FFFFFF,#FFEBD2,#FFFFFF,#CBDEF0,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#CBDEF0,#FFFFFF,#C7DCEF,#F2F7FB,#F2F7FB,#DDEAF5,#FBFCFD,#EBF2F9,"1924182,,Geoff Sprouse","2112592,,Greg Jones","2112593,,Matt Mayock","2321207,,Wyatt Nausadis","2321215,,Julen Iturbe",2025
M. Collins / J. Iturbe / G. Jones / M. Mayock / G. Sprouse,American,110.978662988904,118.759207051399,-7.78054406249507,8.87572880966527,143,131,-7.94224096514172,-0.396657576711902,113.286713286713,119.083969465649,-5.79725617893556,#FFEBD2,#FFFFFF,#FFFFFF,#FFFFFF,#FFEBD2,#FFEBD2,#FFEBD2,#FFFFFF,#FFEBD2,#FFFFFF,#FFEBD2,#FFFFFF,#FFFFFF,#FFFFFF,#DCE9F5,#FFFFFF,#FFEBD2,#FFFFFF,#FFFFFF,#CBDEF0,#FFFFFF,#EFF5FA,#E3EDF6,#BFD8EC,#F7FAFC,#FFEFDC,#F2F7FB,"1924182,,Geoff Sprouse","2112592,,Greg Jones","2112593,,Matt Mayock","2321215,,Julen Iturbe","2478256,,Madden Collins",2025
