rank,name,team,obpr,dbpr,bpr,poss,box_obpr,box_dbpr,box_bpr,adj_team_off_eff,adj_team_def_eff,adj_team_eff_margin,plus_minus,players,color_O,color_D,color_Diff
1,Cameron Boozer,Duke,9.9169806,4.8894658,14.8064464,1888,10.425365294436,3.39021191952886,13.8155772139648,128.600782096064,85.2794549329092,43.3213271631548,587,2561473,#FF9D23,#FFAA40,#FF9D23
2,Yaxel Lendeborg,Michigan,7.6539078,5.5396184,13.1935262,1756,7.0622468517424,4.07346187601918,11.1357087277616,128.969150729254,83.6659885176444,45.3031622116091,537,2098119,#FFB455,#FF9F27,#FFA83B
3,Jeremy Fears Jr.,Michigan State,8.0374456,3.4367627,11.4742083,1742,9.33607826053458,1.82269688986337,11.158775150398,121.045173387256,89.6580920897346,31.3870812975218,321,2119925,#FFB04D,#FFC379,#FFB354
4,Braden Smith,Purdue,8.1591632,3.0625311,11.2216943,1895,7.83058200545027,2.78590917074335,10.6164911761936,130.738706698837,98.5541132534393,32.1845934453981,377,1911492,#FFAF4A,#FFCA87,#FFB558
5,Joshua Jefferson,Iowa State,5.8359303,4.7107424,10.5466727,1840,6.21554621699226,3.38661126585376,9.60215748284602,124.337346592058,87.8692036710157,36.4681429210426,522,1908432,#FFC57D,#FFAD47,#FFB962
6,Bruce Thornton,Ohio State,7.9929024,2.2430939,10.2359963,2004,7.53197187445074,2.01111369871112,9.54308557316186,123.212033580013,98.4270623944375,24.7849711855751,273,1917726,#FFB04E,#FFD8A7,#FFBB67
7,Ja'Kobi Gillespie,Tennessee,7.2238358,2.9720492,10.195885,1917,6.46325939877679,2.88778705505953,9.35104645383632,123.327079248517,94.8958190781198,28.4312601703974,329,1917663,#FFB85F,#FFCB8B,#FFBC67
8,Patrick Ngongba,Duke,5.0670313,4.9280698,9.9951011,1106,5.55679809684101,2.49595490341538,8.05275300025639,125.035305253907,80.6649523873388,44.3703528665683,365,2319989,#FFCD8E,#FFAA3F,#FFBD6A
9,Zuby Ejiofor,St. John's,6.0254954,3.9277722,9.9532676,1790,6.80708473240285,3.50663267941866,10.3137174118215,118.176016028733,91.0337203135073,27.1422957152252,310,1933767,#FFC479,#FFBB66,#FFBD6B
10,Tyler Tanner,Vanderbilt,6.3388373,3.5405364,9.8793737,1936,6.62506804582163,3.37484270996463,9.99991075578626,124.293081725543,95.608907308827,28.6841744167158,363,2280666,#FFC072,#FFC275,#FFBE6C
11,Oscar Cluff,Purdue,6.9336837,2.8409596,9.7746433,1318,6.64023749367911,2.03453369589557,8.67477118957467,135.355441484676,95.2372500877324,40.1181913969439,352,2093260,#FFBB65,#FFCE90,#FFBE6E
12,Kingston Flemings,Houston,6.4824231,3.2823699,9.764793,1782,6.62116329324683,2.90236404643291,9.52352733967974,123.044238265795,90.0863368588687,32.9579014069265,364,2505096,#FFBF6F,#FFC67F,#FFBE6E
13,AJ Dybantsa,BYU,7.0069813,2.6311631,9.6381444,2092,6.7386337857444,1.97456835316814,8.71320213891254,122.755348185859,97.6244706577909,25.1308775280681,316,2478373,#FFBA63,#FFD198,#FFBF70
14,Flory Bidunga,Kansas,4.3256892,5.3028062,9.6284954,1780,3.88124054995361,3.69157711963683,7.57281766959044,118.410231346548,87.4482432753652,30.961988071183,290,2321327,#FFD49F,#FFA330,#FFBF70
15,Keaton Wagler,Illinois,7.4737732,2.0906328,9.564406,1763,8.14047581587973,1.76416761395847,9.90464342983819,131.188719181371,95.2861079230341,35.9026112583369,435,2548114,#FFB559,#FFDBAD,#FFC071
16,Christian Anderson,Texas Tech,7.3390749,2.2180409,9.5571158,2031,7.89670293410041,2.37340677616851,10.2701097102689,122.417419667725,97.6344001008182,24.7830195669072,245,2305704,#FFB75C,#FFD8A8,#FFC071
17,Morez Johnson Jr.,Michigan,4.5198431,4.7129044,9.2327475,1476,4.97208101876733,3.06157834964587,8.03365936841321,124.461282465248,84.3094301446812,40.1518523205664,346,2321443,#FFD29A,#FFAD47,#FFC276
18,Henri Veesaar,North Carolina,5.4344513,3.7925058,9.2269571,1610,5.44777304008327,2.36437797757582,7.81215101765909,121.400743605226,91.8825222247365,29.51822138049,350,1896872,#FFC986,#FFBD6B,#FFC276
19,Bennett Stirtz,Iowa,6.5791676,2.5505613,9.1297289,1960,6.29189095057319,1.71634874865381,8.00823969922701,120.472689264327,95.42405596103,25.0486333032972,319,1891715,#FFBE6D,#FFD39B,#FFC377
20,Silas Demary Jr.,Connecticut,5.7549886,3.3670119,9.1220005,1642,6.32873077751228,2.85504298245778,9.18377375997006,123.011594807947,92.789247854499,30.2223469534476,332,2098959,#FFC67F,#FFC57B,#FFC377
21,Aday Mara,Michigan,3.4797194,5.6414127,9.1211321,1354,4.2511741247376,4.19336315135652,8.44453727609412,123.800518244235,82.9422264756489,40.8582917685862,362,2106223,#FFDCB1,#FF9D23,#FFC377
22,Graham Ike,Gonzaga,6.011561,3.1079467,9.1195077,1554,5.7610644948051,1.66962994648713,7.43069444129222,121.772784864529,89.0963646681201,32.6764201964086,420,1608381,#FFC479,#FFC986,#FFC377
23,Tarris Reed Jr.,Connecticut,4.2556395,4.7419358,8.9975753,1266,4.86033855564543,3.66593771804303,8.52627627368846,122.981412646412,88.9193812567194,34.062031389693,281,1909391,#FFD5A0,#FFAD46,#FFC479
24,Brayden Burries,Arizona,5.1992666,3.7285827,8.9278493,1816,5.19472432773363,2.50578784245759,7.70051217019122,123.264090858443,86.0285561206873,37.2355347377558,492,2478068,#FFCC8B,#FFBE6D,#FFC47A
25,Thomas Haugh,Florida,5.3450796,3.5491061,8.8941857,1942,5.23217871994811,2.80721000179554,8.03938872174365,123.378221452941,88.1550856014299,35.2231358515115,416,2106887,#FFCA88,#FFC174,#FFC47B
26,Caleb Wilson,North Carolina,5.1533231,3.6631991,8.8165222,1316,6.08133819395599,3.34987577681679,9.43121397077279,118.702518141033,95.5405668991464,23.1619512418862,208,2506579,#FFCC8C,#FFBF70,#FFC57C
27,Alex Condon,Florida,4.4189023,4.3631063,8.7820086,1788,4.92202055457111,3.48848594937651,8.41050650394761,121.697763547708,87.5220692490372,34.175694298671,377,2106886,#FFD39D,#FFB355,#FFC57C
28,JT Toppin,Texas Tech,4.6335522,4.0761031,8.7096553,1498,4.27463814831804,3.30579625109441,7.58043439941245,121.998302065814,94.3870178819599,27.6112841838537,209,2126448,#FFD198,#FFB860,#FFC57D
29,Labaron Philon,Alabama,6.9336422,1.7227335,8.6563757,1703,7.04942214332735,1.96077834420501,9.01020048753236,124.48414676431,101.61335097493,22.8707957893796,146,2301240,#FFBB65,#FFE1BB,#FFC67E
30,Darius Acuff Jr.,Arkansas,7.3933973,1.1865609,8.5799582,2034,7.70831444242907,1.79735532965332,9.50566977208239,125.491232220071,100.520294971175,24.9709372488956,252,2533521,#FFB65B,#FFEAD0,#FFC67F
31,Richie Saunders,BYU,6.6483456,1.8831101,8.5314557,1403,6.11028729670829,1.82532652340095,7.93561382010924,124.973119559302,97.4119881102077,27.5611314490939,259,1906894,#FFBD6B,#FFDEB5,#FFC780
32,Isaiah Evans,Duke,5.6015133,2.8986478,8.5001611,1594,4.85456391024662,1.90874722810803,6.76331113835466,128.117385350116,85.3065018111638,42.810883538952,472,2319985,#FFC882,#FFCD8E,#FFC780
33,Aden Holloway,Alabama,7.4935519,0.9557541,8.449306,1499,6.75177007575046,0.851850654778429,7.60362073052889,129.024899053981,99.758478554431,29.2664204995497,237,2106215,#FFB559,#FFEED9,#FFC781
34,Duke Miles,Vanderbilt,5.1245622,3.3067216,8.4312838,1308,5.12108399022404,3.43255335777486,8.5536373479989,126.15786373148,92.9425455636802,33.2153181677997,328,1596321,#FFCC8D,#FFC67E,#FFC781
35,Milan Momcilovic,Iowa State,6.0547591,2.3446241,8.3993832,1740,6.83869495585547,0.702440972598869,7.54113592845434,122.907075086837,87.504163933618,35.402911153219,490,2099047,#FFC378,#FFD6A3,#FFC782
36,Pryce Sandfort,Nebraska,5.5502542,2.7803695,8.3306237,1791,5.89686195779247,1.59300869911357,7.48987065690604,117.903276646605,88.6056194037452,29.2976572428595,358,2113322,#FFC884,#FFCF92,#FFC883
37,Emanuel Sharp,Houston,5.1336069,3.1749475,8.3085544,1649,5.65660677644204,1.53958594252967,7.19619271897171,119.002647561938,86.1500362072922,32.8526113546454,350,1890526,#FFCC8D,#FFC883,#FFC883
38,Tamin Lipsey,Iowa State,4.7575659,3.4777696,8.2353355,1664,5.57267435208998,1.92902330032364,7.50169765241362,119.517983817424,88.601072199081,30.9169116183434,376,1908247,#FFD095,#FFC377,#FFC984
39,Dailyn Swain,Texas,5.3431397,2.8865974,8.2297371,1721,5.66391137186568,3.31470939900557,8.97862077087126,121.727848172165,103.67139629331,18.0564518788549,142,2149051,#FFCA88,#FFCD8E,#FFC984
40,Robbie Avila,Saint Louis,5.8319649,2.3431832,8.1751481,1544,5.73671342934024,0.804604733639751,6.54131816297999,120.456254436315,94.4907904861411,25.9654639501742,417,1935255,#FFC57D,#FFD6A3,#FFC985
41,Joseph Tugler,Houston,3.1471147,5.006387,8.1535017,1300,3.2826115154879,3.42307611655006,6.70568763203796,121.665632674936,86.1095139735898,35.5561187013467,311,2111602,#FFE0B9,#FFA83C,#FFC986
42,Chance Mallory,Virginia,5.4638595,2.5813046,8.0451641,1388,5.42397001184814,2.72507793194878,8.14904794379692,123.47997602409,94.5520424625438,28.927933561546,291,2505044,#FFC986,#FFD29A,#FFCA87
43,Zvonimir Ivisic,Illinois,3.2787254,4.7524625,8.0311879,934,2.55663090680617,3.77208512828692,6.32871603509308,131.530261845584,92.7996352665944,38.7306265789894,255,2128701,#FFDEB6,#FFAD46,#FFCA87
44,Trey Kaufman-Renn,Purdue,6.0084869,2.0139659,8.0224528,1448,5.61800536340927,1.68675051712653,7.3047558805358,132.118213008038,95.9677741494144,36.150438858624,331,1693954,#FFC479,#FFDCB0,#FFCA88
45,Jaden Bradley,Arizona,4.4497964,3.5504753,8.0002717,1869,4.44309827917646,2.04344662931291,6.48654490848937,121.662182305611,84.7819211377713,36.8802611678394,463,1920157,#FFD39C,#FFC174,#FFCA88
46,Sam Hoiberg,Nebraska,3.6862738,4.3129338,7.9992076,1718,5.09124075563657,2.96944885099023,8.0606896066268,115.510147768371,86.8532252403699,28.6569225280013,332,1702080,#FFDAAD,#FFB457,#FFCA88
47,Nick Boyd,Wisconsin,6.5308821,1.4595586,7.9904407,1856,6.75796660325564,1.46436681100508,8.22233341426071,124.564039265789,100.024888800469,24.53915046532,214,1611694,#FFBF6E,#FFE5C6,#FFCA88
48,Rueben Chinyelu,Florida,2.7583908,5.1953985,7.9537893,1482,3.11872636714287,4.11793579400254,7.23666216114541,123.36629750765,84.9258437896467,38.4404537180037,350,2093257,#FFE4C1,#FFA534,#FFCA89
49,Fletcher Loyer,Purdue,5.9950713,1.8054699,7.8005412,1611,5.96492638766408,0.885855563322817,6.8507819509869,131.326253251014,93.2621975063596,38.0640557446546,421,1911404,#FFC47A,#FFDFB8,#FFCB8B
50,Tre Donaldson,Miami (Fla.),5.8384976,1.9133268,7.7518244,1940,5.64653327779331,1.2452026353774,6.89173591317071,121.357033916245,97.1687016200217,24.1883322962233,350,1905711,#FFC57D,#FFDEB4,#FFCC8C
51,Nate Ament,Tennessee,4.3353414,3.4153039,7.7506453,1566,4.96334072333474,2.75431585505474,7.71765657838948,118.310110281006,92.6432187101246,25.6668915708817,220,2505205,#FFD49F,#FFC47A,#FFCC8C
52,Dillon Mitchell,St. John's,3.8653874,3.8704092,7.7357966,1652,4.0341332780451,2.5880022901727,6.6221355682178,118.285531110684,90.1360328063106,28.149498304373,274,1918659,#FFD9A9,#FFBC68,#FFCC8C
53,Boopie Miller,SMU,6.0899026,1.6432297,7.7331323,1999,6.80482788933289,1.82903981658639,8.63386770591928,120.721079769397,100.451495750009,20.2695840193883,260,1720487,#FFC378,#FFE2BF,#FFCC8C
54,Jaxon Kohler,Michigan State,4.2309193,3.497992,7.7289113,1482,4.87202371181771,2.61779872146062,7.48982243327834,122.19106232456,89.3002909155266,32.8907714090335,331,1930360,#FFD5A1,#FFC276,#FFCC8C
