rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,rank_inj,home_rank,roster_rank,runs_per_game,runs_conceded_per_game,runs_margin,runs_total,runs_conceded_total,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
1,Michigan,Michigan,17.4907023863099,17.5290270734222,35.0197294597321,49.0793302098797,33.4667402537379,3,1,71.9712507,21,1,118,1,1.12121212121212,0.0909090909090909,1.03030303030303,37,3,31,2,#FFAF4A,#FF9D23,#FF9D23,#D4425F,#F6BB93,Michigan plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Michigan plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
2,Duke,Duke 🤕,17.3968746749706,17.3323620534394,34.7292367284099,1.52197071415854,-28.1033148030547,4,2,67.0891493,273,2,291,2,1.05882352941176,0.235294117647059,0.823529411764706,36,8,32,2,#FFAF4B,#FF9F25,#FF9E25,#FFF9DB,#B5C9C0,Duke performs at a similar level against both good and bad teams.,Duke plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
3,Arizona,Arizona 🔒,15.5514791646667,16.4668184480667,32.0182976127333,59.6564619525311,-4.57781949916711,10,4,71.439808,28,3,28,6,1,0.0588235294117647,0.941176470588235,34,2,32,2,#FFB85E,#FFA330,#FFA636,#B2204C,#E5E2BC,Arizona plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Arizona performs at a similar level regardless of the pace of the game.
4,Florida,Florida,15.9954761008,15.7849455374667,31.7804216382667,23.6546088936928,35.0894129791212,8,6,71.63395575,24,4,245,4,0.939393939393939,0.151515151515152,0.787878787878788,31,5,26,7,#FFB659,#FFA739,#FFA637,#FEA39C,#F7B991,Florida plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Florida plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
5,Houston,Houston,14.5857275804733,17.0886108248,31.6743384052733,-13.550440254356,-25.9001558097675,13,3,64.8701706,356,5,45,5,1.11764705882353,0.323529411764706,0.794117647058824,38,11,28,6,#FFBC68,#FFA028,#FFA738,#C2DED8,#B9CBC0,Houston performs at a similar level against both good and bad teams.,Houston plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
6,Illinois,Illinois,19.9618511272,9.9081760965,29.8700272237,-48.3252760752812,-7.60323513101382,2,21,67.05353785,276,6,216,7,1.125,0.21875,0.90625,36,7,24,8,#FFA331,#FFC882,#FFAC43,#5681B9,#DFDFBD,Illinois plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Illinois performs at a similar level regardless of the pace of the game.
7,Iowa State,Iowa State 🔥,13.4957581856,15.9574401784667,29.4531983640667,-32.7573380311629,17.9604933758989,18,5,68.274120465,198,7,48,10,1.23529411764706,0.470588235294118,0.764705882352941,42,16,27,7,#FFC173,#FFA637,#FFAD46,#7DACC9,#F3CFA6,Iowa State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Iowa State performs at a similar level regardless of the pace of the game.
8,Purdue,Purdue,21.2834301238667,7.51769665251067,28.8011267763773,-22.772057863544,12.9536415941198,1,32,65.61288055,338,8,288,3,0.882352941176471,0.441176470588235,0.441176470588235,30,15,26,8,#FF9D23,#FFD5A0,#FFAF4A,#99C7D2,#F1D6AC,Purdue plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Purdue performs at a similar level regardless of the pace of the game.
9,Connecticut,Connecticut,15.18269029579,12.9086882340099,28.0913785297999,22.5831137335764,-42.2840223075881,11,12,65.43392075,344,9,224,8,0.529411764705882,0.235294117647059,0.294117647058824,18,8,29,5,#FFB962,#FFB75D,#FFB14E,#FFA79F,#98BAC3,Connecticut plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Connecticut plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
10,Gonzaga,Gonzaga 📉🤕,12.2989576683352,14.4944820106544,26.7934396789896,-32.9348597802268,5.75412749114631,25,8,70.4294694,69,12,94,12,1.09090909090909,0.363636363636364,0.727272727272727,36,12,30,3,#FFC680,#FFAE49,#FFB456,#7DACC9,#F0DFB5,Gonzaga plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Gonzaga performs at a similar level regardless of the pace of the game.
